"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-06","0.00","0.0","0.0",,"80","56",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-07","0.00","0.0","0.0",,"82","62",,,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-08","0.00","0.0","0.0",,"81","50",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-09","0.00","0.0","0.0",,"83","60",,,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-10","0.00","0.0","0.0",,"91","59",,,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-11","0.00","0.0","0.0",,"76","57",,,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-12","0.00","0.0","0.0",,"61","51","    1",,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-13","0.00","0.0","0.0",,"67","52","    1",,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-14","0.05","0.0","0.0",,"71","58","    1",,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-15","0.08","0.0","0.0",,"80","60","    1",,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-16","0.00","0.0","0.0",,"72","60","    1",,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-17","0.00","0.0","0.0",,"74","59",,,,,,,"    1"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-18","0.17","0.0","0.0",,"69","59",,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2020-09-19","1.35","0.0","0.0",,"69","59","    1",,,,,,
